peer_id,peer_to_id,ledger_seq,ledger_hash,raw_contents
4,2,13,1d9cb1718d3caaf0f53ae720d3a0a4b73fc90bb11b1b95b4b0ba5554691a54bf,[]
0,3,14,77c245ea3e87ab4ab5493d3d20e5f64a24e14cb379158bc03ce3ca8b0970c2d4,[]
2,3,14,77c245ea3e87ab4ab5493d3d20e5f64a24e14cb379158bc03ce3ca8b0970c2d4,[]
1,4,14,77c245ea3e87ab4ab5493d3d20e5f64a24e14cb379158bc03ce3ca8b0970c2d4,[]
3,4,14,77c245ea3e87ab4ab5493d3d20e5f64a24e14cb379158bc03ce3ca8b0970c2d4,[]
4,0,14,77c245ea3e87ab4ab5493d3d20e5f64a24e14cb379158bc03ce3ca8b0970c2d4,[]
0,4,15,c0476e08118518abeefbd219b0c35d2b583cc152f7615869c356d4b11462c4b5,[]
2,4,15,c0476e08118518abeefbd219b0c35d2b583cc152f7615869c356d4b11462c4b5,[]
1,4,15,c0476e08118518abeefbd219b0c35d2b583cc152f7615869c356d4b11462c4b5,[]
3,4,15,c0476e08118518abeefbd219b0c35d2b583cc152f7615869c356d4b11462c4b5,[]
4,2,15,c0476e08118518abeefbd219b0c35d2b583cc152f7615869c356d4b11462c4b5,[]
0,4,16,19adfe620f83e0d899258d8e80446ab8060d5e1070e54f6e508c9ac702f47e41,[]
2,0,16,19adfe620f83e0d899258d8e80446ab8060d5e1070e54f6e508c9ac702f47e41,[]
1,4,16,19adfe620f83e0d899258d8e80446ab8060d5e1070e54f6e508c9ac702f47e41,[]
3,0,16,19adfe620f83e0d899258d8e80446ab8060d5e1070e54f6e508c9ac702f47e41,[]
4,2,16,19adfe620f83e0d899258d8e80446ab8060d5e1070e54f6e508c9ac702f47e41,[]
0,4,17,13f5e7d88834f4825a872f0dc2f072a6a41ecb2436251c44c903024112063664,[]
2,1,17,13f5e7d88834f4825a872f0dc2f072a6a41ecb2436251c44c903024112063664,[]
1,4,17,13f5e7d88834f4825a872f0dc2f072a6a41ecb2436251c44c903024112063664,[]
3,2,17,13f5e7d88834f4825a872f0dc2f072a6a41ecb2436251c44c903024112063664,[]
4,1,17,13f5e7d88834f4825a872f0dc2f072a6a41ecb2436251c44c903024112063664,[]
0,3,18,e0dfca0a3f611ef5f7266f26f21edc55ea923818e8942a0e99865c1a2b01e70e,[]
2,4,18,e0dfca0a3f611ef5f7266f26f21edc55ea923818e8942a0e99865c1a2b01e70e,[]
1,4,18,e0dfca0a3f611ef5f7266f26f21edc55ea923818e8942a0e99865c1a2b01e70e,[]
3,2,18,e0dfca0a3f611ef5f7266f26f21edc55ea923818e8942a0e99865c1a2b01e70e,[]
4,3,18,e0dfca0a3f611ef5f7266f26f21edc55ea923818e8942a0e99865c1a2b01e70e,[]
0,4,19,24bbb0665dfaa20153f88ff7f87f8e94e5f621c027b4ca1af90ab9fc8a43a606,[]
2,1,19,24bbb0665dfaa20153f88ff7f87f8e94e5f621c027b4ca1af90ab9fc8a43a606,[]
1,3,19,24bbb0665dfaa20153f88ff7f87f8e94e5f621c027b4ca1af90ab9fc8a43a606,[]
3,2,19,24bbb0665dfaa20153f88ff7f87f8e94e5f621c027b4ca1af90ab9fc8a43a606,[]
4,3,19,24bbb0665dfaa20153f88ff7f87f8e94e5f621c027b4ca1af90ab9fc8a43a606,[]
0,3,20,060f23a94107fbca92652804f0d46744a4f6f9a0b982414e3963b2576b48960e,[]
2,0,20,060f23a94107fbca92652804f0d46744a4f6f9a0b982414e3963b2576b48960e,[]
1,4,20,060f23a94107fbca92652804f0d46744a4f6f9a0b982414e3963b2576b48960e,[]
3,4,20,060f23a94107fbca92652804f0d46744a4f6f9a0b982414e3963b2576b48960e,[]
4,2,20,060f23a94107fbca92652804f0d46744a4f6f9a0b982414e3963b2576b48960e,[]
