peer_id,peer_to_id,ledger_seq,ledger_hash,raw_contents
3,4,9,901017c5338da88380b0c35816862d66da224875146d1d64b85aff4c78c86c67,[]
0,4,9,901017c5338da88380b0c35816862d66da224875146d1d64b85aff4c78c86c67,[]
2,3,9,901017c5338da88380b0c35816862d66da224875146d1d64b85aff4c78c86c67,[]
1,4,10,5ebc21ca88f51850b83ba7a824be72277b3748ea1c4bd651060cdef31b5b2015,[]
0,3,10,5ebc21ca88f51850b83ba7a824be72277b3748ea1c4bd651060cdef31b5b2015,[]
2,3,10,5ebc21ca88f51850b83ba7a824be72277b3748ea1c4bd651060cdef31b5b2015,[]
3,4,10,5ebc21ca88f51850b83ba7a824be72277b3748ea1c4bd651060cdef31b5b2015,[]
4,3,10,5ebc21ca88f51850b83ba7a824be72277b3748ea1c4bd651060cdef31b5b2015,[]
1,3,11,4de785c57a7c63dc6fcdc0220a6e3aec74b1b127c236ae82a65aceae01a69ca4,[]
0,3,11,4de785c57a7c63dc6fcdc0220a6e3aec74b1b127c236ae82a65aceae01a69ca4,[]
2,3,11,4de785c57a7c63dc6fcdc0220a6e3aec74b1b127c236ae82a65aceae01a69ca4,[]
3,4,11,4de785c57a7c63dc6fcdc0220a6e3aec74b1b127c236ae82a65aceae01a69ca4,[]
4,3,11,4de785c57a7c63dc6fcdc0220a6e3aec74b1b127c236ae82a65aceae01a69ca4,[]
1,4,12,1cc7040968114d2ac6c25491e36bbd8048f2de24a04d8b75808c9496408b9d0e,[]
0,1,12,1cc7040968114d2ac6c25491e36bbd8048f2de24a04d8b75808c9496408b9d0e,[]
2,4,12,1cc7040968114d2ac6c25491e36bbd8048f2de24a04d8b75808c9496408b9d0e,[]
3,4,12,1cc7040968114d2ac6c25491e36bbd8048f2de24a04d8b75808c9496408b9d0e,[]
4,3,12,1cc7040968114d2ac6c25491e36bbd8048f2de24a04d8b75808c9496408b9d0e,[]
1,0,13,7998f3aa4d4bce0835e66c11a67f119fd7ab016fcedfb4b379a9bce40287111f,[]
0,4,13,7998f3aa4d4bce0835e66c11a67f119fd7ab016fcedfb4b379a9bce40287111f,[]
2,3,13,7998f3aa4d4bce0835e66c11a67f119fd7ab016fcedfb4b379a9bce40287111f,[]
3,2,13,7998f3aa4d4bce0835e66c11a67f119fd7ab016fcedfb4b379a9bce40287111f,[]
4,3,13,7998f3aa4d4bce0835e66c11a67f119fd7ab016fcedfb4b379a9bce40287111f,[]
1,2,14,7b4ca17e6d596fd104d033d9d2558590fed9e68b96db032fa7450e9ac32070cf,[]
0,4,14,7b4ca17e6d596fd104d033d9d2558590fed9e68b96db032fa7450e9ac32070cf,[]
2,4,14,7b4ca17e6d596fd104d033d9d2558590fed9e68b96db032fa7450e9ac32070cf,[]
3,2,14,7b4ca17e6d596fd104d033d9d2558590fed9e68b96db032fa7450e9ac32070cf,[]
4,0,14,7b4ca17e6d596fd104d033d9d2558590fed9e68b96db032fa7450e9ac32070cf,[]
1,4,15,587b004a889ae96fc477c4b93ca0f6d4cabb958eebfd5b38162bd2ba579271af,[]
0,4,15,587b004a889ae96fc477c4b93ca0f6d4cabb958eebfd5b38162bd2ba579271af,[]
2,4,15,587b004a889ae96fc477c4b93ca0f6d4cabb958eebfd5b38162bd2ba579271af,[]
3,2,15,587b004a889ae96fc477c4b93ca0f6d4cabb958eebfd5b38162bd2ba579271af,[]
4,3,15,587b004a889ae96fc477c4b93ca0f6d4cabb958eebfd5b38162bd2ba579271af,[]
1,4,16,78243a6ccf1d5ead4c15fb7bcaa0ef344a3cc703547a33f32c39322f410c77de,[]
0,3,16,78243a6ccf1d5ead4c15fb7bcaa0ef344a3cc703547a33f32c39322f410c77de,[]
2,1,16,78243a6ccf1d5ead4c15fb7bcaa0ef344a3cc703547a33f32c39322f410c77de,[]
3,4,16,78243a6ccf1d5ead4c15fb7bcaa0ef344a3cc703547a33f32c39322f410c77de,[]
4,1,16,78243a6ccf1d5ead4c15fb7bcaa0ef344a3cc703547a33f32c39322f410c77de,[]
1,3,17,390b3c3444dd7fe107c485b3bf9bdaa1cf88302a4e6b8875fe2401c493d83260,[]
0,4,17,390b3c3444dd7fe107c485b3bf9bdaa1cf88302a4e6b8875fe2401c493d83260,[]
2,3,17,390b3c3444dd7fe107c485b3bf9bdaa1cf88302a4e6b8875fe2401c493d83260,[]
3,4,17,390b3c3444dd7fe107c485b3bf9bdaa1cf88302a4e6b8875fe2401c493d83260,[]
4,3,17,390b3c3444dd7fe107c485b3bf9bdaa1cf88302a4e6b8875fe2401c493d83260,[]
1,4,18,f424738e8564713d105b4f8fe5e1181caf7ea99a8b26b8e365a9655c28674158,[]
0,3,18,f424738e8564713d105b4f8fe5e1181caf7ea99a8b26b8e365a9655c28674158,[]
2,4,18,f424738e8564713d105b4f8fe5e1181caf7ea99a8b26b8e365a9655c28674158,[]
3,4,18,f424738e8564713d105b4f8fe5e1181caf7ea99a8b26b8e365a9655c28674158,[]
4,3,18,f424738e8564713d105b4f8fe5e1181caf7ea99a8b26b8e365a9655c28674158,[]
1,3,19,78ac07d5330cb487c5853de0e59bb5dedd4dac34fd63c15b05487d0b2a014e63,[]
0,3,19,78ac07d5330cb487c5853de0e59bb5dedd4dac34fd63c15b05487d0b2a014e63,[]
2,4,19,78ac07d5330cb487c5853de0e59bb5dedd4dac34fd63c15b05487d0b2a014e63,[]
3,4,19,78ac07d5330cb487c5853de0e59bb5dedd4dac34fd63c15b05487d0b2a014e63,[]
4,3,19,78ac07d5330cb487c5853de0e59bb5dedd4dac34fd63c15b05487d0b2a014e63,[]
1,4,20,c00b6dae50fb6839d7da8ea1ddac3488af5c0113633c4e093d0cc40ed9db014c,[]
0,4,20,c00b6dae50fb6839d7da8ea1ddac3488af5c0113633c4e093d0cc40ed9db014c,[]
2,3,20,c00b6dae50fb6839d7da8ea1ddac3488af5c0113633c4e093d0cc40ed9db014c,[]
3,2,20,c00b6dae50fb6839d7da8ea1ddac3488af5c0113633c4e093d0cc40ed9db014c,[]
4,3,20,c00b6dae50fb6839d7da8ea1ddac3488af5c0113633c4e093d0cc40ed9db014c,[]
